Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province
0.61415794766,0.01819131252,Elimbari Rural LLG,PG100102,Chuave District,PG1001,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"65",18574.903756,Elimbari Rural,Elimbari Rural LLG,Chuave District,Chimbu (Simbu)
2.87116879870,0.19870754798,Erave Rural LLG,PG070308,Kagua/Erave District,PG0703,Southern Highlands Province,PG07,Papua New Guinea,PG,"104",23814.000000,Erave Rural,Erave Rural LLG,Kagua/Erave District,Southern Highlands
0.65033532494,0.02066496817,Fayantina Rural LLG,PG110316,Henganofi District,PG1103,Eastern Highlands Province,PG11,Papua New Guinea,PG,"138",27210.936218,Fayantina Rural,Fayantina Rural LLG,Henganofi District,Eastern Highlands
0.19311612835,0.00154102456,Finschafen Urban LLG,PG120233,Finschafen District,PG1202,Morobe Province,PG12,Papua New Guinea,PG,"9",5746.906132,Finschafen Urban,Finschafen Urban LLG,Finschafen District,Morobe
1.23406288133,0.07652881820,Gadsup/Tairora Rural LLG,PG110419,Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,"123",31888.951192,Gadsup/Tairora Rural,Gadsup/Tairora Rural LLG,Kainanatu District,Eastern Highlands
0.76221158956,0.01431079581,Gahuku Rural LLG,PG110202,Goroka District,PG1102,Eastern Highlands Province,PG11,Papua New Guinea,PG,"286",109275.266571,Gahuku Rural,Gahuku Rural LLG,Goroka District,Eastern Highlands
2.80864213301,0.15781871915,Gama Rural LLG,PG130619,Usino Bundi District,PG1306,Madang Province,PG13,Papua New Guinea,PG,"23",15101.248356,Gama  Rural,Gama Rural LLG,Usino Bundi District,Madang
4.73190073126,0.27890504821,Gasmata Rural LLG,PG190101,Kandrian/Gloucester District,PG1901,West New Britain Province,PG19,Papua New Guinea,PG,"42",12767.000000,Gasmata Rural,Gasmata Rural LLG,Kandrian/Gloucester District,West New Britain
1.06384406050,0.03885951917,Gawanga Rural LLG,PG140103,Ambunti/Drekikier District,PG1401,East Sepik Province,PG14,Papua New Guinea,PG,"30",28569.000000,Gawanga Rural,Gawanga Rural LLG,Ambunti/Drekikier District,East Sepik
1.40697254171,0.11281085417,Gawi Rural LLG,PG140520,Wosera Gawi District,PG1405,East Sepik Province,PG14,Papua New Guinea,PG,"41",15790.000000,Gawi Rural,Gawi Rural LLG,Wosera Gawi District,East Sepik
0.59693137586,0.01496677075,Gena/Waugla Rural LLG,PG100410,Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"81",38515.000001,Gena/Waugla Rural,Gena/Waugla Rural LLG,Kerowagi District,Chimbu (Simbu)
1.94924877481,0.11517749255,Gloucester Rural LLG,PG190102,Kandrian/Gloucester District,PG1901,West New Britain Province,PG19,Papua New Guinea,PG,"61",16184.000000,Gloucester Rural,Gloucester Rural LLG,Kandrian/Gloucester District,West New Britain
6.10236303492,0.62626375143,Gogodala Rural LLG,PG010103,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,"70",49798.000001,Gogodala Rural LLG,Gogodala Rural LLG,Delta Fly District,Western
1.14623488245,0.05804135335,Goodenough Island LLG,PG050313,Kiriwina-Goodenough District,PG0503,Milne Bay Province,PG05,Papua New Guinea,PG,"39",46833.303369,Goodenough Isla,Goodenough Island LLG,Kiriwina-Goodenough District,Milne Bay Province
0.17437394470,0.00055901472,Goroka Urban LLG,PG110203,Goroka District,PG1102,Eastern Highlands Province,PG11,Papua New Guinea,PG,"61",31865.999999,Goroka Urban,Goroka Urban LLG,Goroka District,Eastern Highlands
2.74397626443,0.35335584056,Green River Rural LLG,PG150414,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"70",23757.000000,Green River Rural,Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun)
2.36814297136,0.23862715113,Guari Rural LLG,PG030204,Goilala District,PG0302,Central Province,PG03,Papua New Guinea,PG,"59",5674.000000,Guari Rural,Guari Rural LLG,Goilala District,Central
0.80378833504,0.02739729895,Gumine Rural LLG,PG100205,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"51",26295.000000,Gumine Rural,Gumine Rural LLG,Gumine District,Chimbu (Simbu)
0.78642701752,0.01920888058,Hayapuga Rural LLG,PG210827,Tari/Pori District,PG2108,Hela Province,PG21,Papua New Guinea,PG,"21",75061.999998,Hayapuga Rural,Hayapuga Rural LLG,Tari/Pori District,Hela
1.26075000617,0.07556596075,Higaturu Rural LLG,PG060206,Sohe District,PG0602,Northern (Oro) Province,PG06,Papua New Guinea,PG,"190",72266.000001,Higaturu Rural,Higaturu Rural LLG,Sohe District,Northern (Oro)
3.29588735310,0.13473204227,Hiri Rural LLG,PG030307,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,"77",73266.000001,Hiri Rural,Hiri Rural LLG,Hiri-Koiari District,Central
1.07478065719,0.04743034083,Hoskins Rural LLG,PG190208,Talasea District,PG1902,West New Britain Province,PG19,Papua New Guinea,PG,"45",42579.000001,Hoskins Rural,Hoskins Rural LLG,Nakanai District,West New Britain
0.73393875068,0.02304702593,Hube Rural LLG,PG120232,Finschafen District,PG1202,Morobe Province,PG12,Papua New Guinea,PG,"51",20319.727813,Burum Kwat,Hube Rural LLG,Finschafen District,Morobe
3.44648836112,0.12185930347,Huhu Rural LLG,PG050105,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,"80",67852.999997,Huhu Rural,Huhu Rural LLG,Alotau District,Milne Bay Province
