FID,LLGNAME,Area,Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
,,,4339746907.34354,Green River Rural LLG,PG150414,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,"70",23756.99999991,Green River Rural,Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun),141.3601694074,-3.9108588432
,,,2908993475.06899,Guari Rural LLG,PG030204,Goilala District,PG0302,Central Province,PG03,Papua New Guinea,PG,"59",5673.99999983,Guari Rural,Guari Rural LLG,Goilala District,Central,146.6853920172,-8.0993254078
,,,335275192.266268,Gumine Rural LLG,PG100205,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,"51",26295.00000033,Gumine Rural,Gumine Rural LLG,Gumine District,Chimbu (Simbu),144.8366418023,-6.2628470020
,,,235222540.322624,Hayapuga Rural LLG,PG210827,Tari/Pori District,PG2108,Hela Province,PG21,Papua New Guinea,PG,"21",75061.999998,Hayapuga Rural,Hayapuga Rural LLG,Tari/Pori District,Hela,142.8744125955,-5.9124104941
,,,919644032.230496,Higaturu Rural LLG,PG060206,Sohe District,PG0602,Northern (Oro) Province,PG06,Papua New Guinea,PG,"190",72266.00000141,Higaturu Rural,Higaturu Rural LLG,Sohe District,Northern (Oro),148.0958211190,-8.7392939213
,,,1637310847.34864,Hiri Rural LLG,PG030307,Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,"77",73266.00000079,Hiri Rural,Hiri Rural LLG,Hiri-Koiari District,Central,147.1471604559,-9.2602340452
,,,581232959.947188,Hoskins Rural LLG,PG190208,Talasea District,PG1902,West New Britain Province,PG19,Papua New Guinea,PG,"45",42579.00000142,Hoskins Rural,Hoskins Rural LLG,Nakanai District,West New Britain,150.4747722361,-5.5403654225
,,,281955182.824256,Hube Rural LLG,PG120232,Finschafen District,PG1202,Morobe Province,PG12,Papua New Guinea,PG,"51",20319.727813453,Burum Kwat,Hube Rural LLG,Finschafen District,Morobe,147.5216204454,-6.4169240204
,,,1476090490.74512,Huhu Rural LLG,PG050105,Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,"80",67852.99999672,Huhu Rural,Huhu Rural LLG,Alotau District,Milne Bay Province,150.3220031769,-10.3875901831
,,,1115702547.80116,Hulia Rural LLG,PG210411,Komo/Magarima District,PG2104,Hela Province,PG21,Papua New Guinea,PG,"72",121413.99999841,Hulia Rural,Hulia Rural LLG,Hulia District,Hela,143.0402780412,-6.0887775086
,,,84039912.4077646,Iabu Rural LLG,PG130102,Bogia District,PG1301,Madang Province,PG13,Papua New Guinea,PG,"19",6279.99999981,Iabu Rural,Iabu Rural LLG,Bogia District,Madang,145.0334965234,-4.0763124888
,,,330444988.769912,Ialibu Basin Rural LLG,PG070205,Imbonggu District,PG0702,Southern Highlands Province,PG07,Papua New Guinea,PG,"91",35563.99999973,Ialibu Basin Rural,Ialibu Basin Rural LLG,Imbonggu District,Southern Highlands,143.9659623990,-6.1696134461
,,,32269786.6290464,Ialibu Urban LLG,PG070102,Ialibu/Pangia District,PG0701,Southern Highlands Province,PG07,Papua New Guinea,PG,"33",18320.00000031,Ialibu Urban,Ialibu Urban LLG,Ialibu/Pangia District,Southern Highlands,143.9630516390,-6.2661205717
,,,3352027534.23414,Ihu Rural LLG,PG020209,Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,"70",23883.00000015,Ihu Rural,Ihu Rural LLG,Kikori District,Gulf Province,145.4996213614,-7.5855979559
,,,461316085.258503,Imbongu Rural LLG,PG070206,Imbonggu District,PG0702,Southern Highlands Province,PG07,Papua New Guinea,PG,"41",49374.0000011,Imbongu Rural,Imbongu Rural LLG,Imbonggu District,Southern Highlands,144.0878306112,-6.1274907675
,,,942446790.317339,Inland Baining Rural LLG,PG180102,Gazelle District,PG1801,East New Britain Province,PG18,Papua New Guinea,PG,"55",38982.99999876,Inland Baining Rural,Inland Baining Rural LLG,Gazelle District,East New Britain,151.9360877685,-4.4464843204
,,,1585948849.0143,Jimi Rural LLG,PG220406,Jimi District,PG2204,Jiwaka Province,PG22,Papua New Guinea,PG,"69",46549.9999998,Jimi Rural,Jimi Rural LLG,Jimi District,Jiwaka,144.5409916866,-5.4935853147
