Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
1252153266.99419903755,Rigo Central Rural LLG,PG030411,Rigo District,PG0304,Central Province,PG03,"62",22402.000000,Rigo Central Rural,Rigo District,Central
518628504.35582691431,Rigo Coastal Rural LLG,PG030412,Rigo District,PG0304,Central Province,PG03,"30",26178.000000,Rigo Coastal Rural,Rigo District,Central
3243682441.58775568008,Rigo Inland Rural LLG,PG030413,Rigo District,PG0304,Central Province,PG03,"138",24142.000000,Rigo Inland Rural,Rigo District,Central
5519079875.05069351196,Safia Rural LLG,PG060109,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"56",9812.086050,Safia Rural,Ijivitari District,Northern (Oro)
1254328489.88664007187,Salamaua Rural LLG,PG120310,Huon District,PG1203,Morobe Province,PG12,"55",17756.000000,Salamaua Rural,Huon District,Morobe
209860824.10063171387,Salt Rural LLG,PG100309,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,"56",19570.000000,Salt Rural,Karimui/Nomane District,Chimbu (Simbu)
1338078296.27925634384,Sausso Rural LLG,PG140625,Yangoru Saussia District,PG1406,East Sepik Province,PG14,"41",15734.000000,Sausso Rural,Yangoru Saussia District,East Sepik
442990112.64468920231,Selau/Suir LLG,PG200103,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"42",30930.999998,Selau/Suir,North Bougainville District,Bougainville
306399077.00226426125,Selepet Rural LLG,PG120435,Kabwum District,PG1204,Morobe Province,PG12,"27",15910.000000,Selepet Rural,Kabwum District,Morobe
1817723268.28541374207,Sentral Niu Ailan Rural LLG,PG170206,Namatanai District,PG1702,New Ireland Province,PG17,"109",37894.999999,Sentral Niu Ailan Rural,Namatanai District,New Ireland
876446509.97537016869,Sialum Rural LLG,PG120926,Tawae/Siassi District,PG1209,Morobe Province,PG12,"63",24595.000000,Sialum Rural,Tawae/Siassi District,Morobe
202563136.04456457496,Siane Rural LLG,PG100103,Chuave District,PG1001,Chimbu (Simbu) Province,PG10,"92",19564.096244,Siane Rural,Chuave District,Chimbu (Simbu)
965557882.75661909580,Siassi Rural LLG,PG120927,Tawae/Siassi District,PG1209,Morobe Province,PG12,"44",10722.000000,Siassi Rural,Tawae/Siassi District,Morobe
584535367.60972511768,Simbai Rural LLG,PG130309,Middle Ramu District,PG1303,Madang Province,PG13,"27",32447.999999,Simbai Rural,Middle Ramu District,Madang
2436652289.84455251694,Sinivit Rural LLG,PG180313,Pomio District,PG1803,East New Britain Province,PG18,"62",26661.999999,Sinivit Rural,Pomio District,East New Britain
731446634.66072106361,Siwai LLG,PG200310,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"93",34249.000000,Siwai,South Bougainville District,Bougainville
253865220.08225747943,South Koroba Rural LLG,PG210517,Koroba/Kopiago District,PG2105,Hela Province,PG21,"73",86423.000002,South Koroba Rural,Koroba/Kopiago District,Hela
1706817226.79018759727,South Waghi Rural LLG,PG220102,Anglimp/South Waghi District,PG2201,Jiwaka Province,PG22,"308",149869.000001,South Waghi Rural,Anglimp/South Waghi District,Jiwaka
459772523.97513169050,South Wosera Rural LLG,PG140522,Wosera Gawi District,PG1405,East Sepik Province,PG14,"60",34606.000000,South Wosera Rural,Wosera Gawi District,East Sepik
1581789074.58970975876,Star Mountains Rural LLG,PG010210,North Fly District,PG0102,Western Province,PG01,"32",25153.999999,Star Mountains Rural LLG,North Fly District,Western
155168414.97650361061,Suai Rural LLG,PG100618,Sina Sina Yonggomugl District,PG1006,Chimbu (Simbu) Province,PG10,"77",24944.000001,Suai Rural,Sina Sina Yonggomugl District,Chimbu (Simbu)
1828784279.40840101242,Suau Rural LLG,PG050106,Alotau District,PG0501,Milne Bay Province,PG05,"36",27304.000001,Suau Rural,Alotau District,Milne Bay Province
1501533273.91941094398,Sumgilbar Rural LLG,PG130514,Sumkar District,PG1305,Madang Province,PG13,"124",54914.000000,Sumgilbar Rural,Sumkar District,Madang
80862237.51991972327,Tabare Rural LLG,PG100617,Sina Sina Yonggomugl District,PG1006,Chimbu (Simbu) Province,PG10,"65",24732.000000,Tabare Rural,Sina Sina Yonggomugl District,Chimbu (Simbu)
534954983.85841715336,Tagali Rural LLG,PG210828,Tari/Pori District,PG2108,Hela Province,PG21,"24",46767.999999,Tagali Rural,Tari/Pori District,Hela
2174546891.38929796219,Talasea Rural LLG,PG190211,Talasea District,PG1902,West New Britain Province,PG19,"50",33817.000001,Talasea Rural,Talasea District,West New Britain
4355279397.03618907928,Tamata Rural LLG,PG060207,Sohe District,PG0602,Northern (Oro) Province,PG06,"92",24884.000000,Tamata Rural,Sohe District,Northern (Oro)
174549849.97054705024,Tanir Rural LLG,PG170208,Namatanai District,PG1702,New Ireland Province,PG17,"38",15271.000000,Tanir Rural,Namatanai District,New Ireland
1494920692.76306843758,Tapini Rural LLG,PG030205,Goilala District,PG0302,Central Province,PG03,"69",19087.000000,Tapini Rural,Goilala District,Central
22272710.32751482725,Tari Urban LLG,PG210829,Tari/Pori District,PG2108,Hela Province,PG21,"16",94822.999998,Tari Urban,Tari/Pori District,Hela
268073581.18042638898,Tebi Rural LLG,PG210830,Tari/Pori District,PG2108,Hela Province,PG21,"18",58303.999999,Tebi Rural,Tari/Pori District,Hela
3833684836.80500602722,Telefomin Rural LLG,PG150310,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"70",18436.000000,Telefomin Rural,Telefomin District,West Sepik (Sandaun)
171801849.43414315581,Tetidu LLG,PG160109,Manus District,PG1601,Manus Province,PG16,"13",3979.000000,Tetidu,Manus District,Manus
1311256671.38931655884,Tikana Rural LLG,PG170103,Kavieng District,PG1701,New Ireland Province,PG17,"92",38546.000001,Tikana Rural,Kavieng District,New Ireland
630652731.66602683067,Tinputz LLG,PG200101,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"56",32581.000000,Tinputz,North Bougainville District,Bougainville
970335494.71773600578,Torokina LLG,PG200312,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"51",10253.000000,Torokina,South Bougainville District,Bougainville
1845023577.36856675148,Transgogol Rural LLG,PG130206,Madang District,PG1302,Madang Province,PG13,"85",30217.000000,Transgogol Rural,Madang District,Madang
468677452.25583213568,Tsak Rural LLG,PG080514,Wapenamanda District,PG0805,Enga Province,PG08,"34",26494.000002,Tsak Rural,Wapenamanda District,Enga
2506365909.42192411423,Tufi Rural LLG,PG060102,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"108",26166.999999,Tufi Rural,Ijivitari District,Northern (Oro)
10209115547.84278678894,Tunap/Hustein LLG,PG140104,Ambunti/Drekikier District,PG1401,East Sepik Province,PG14,"86",19184.000000,Tunap/Hustein,Ambunti/Drekikier District,East Sepik
774678220.65484297276,Turubu Rural LLG,PG140415,Wewak District,PG1404,East Sepik Province,PG14,"56",17991.000000,Turubu Rural LLG,Wewak District,East Sepik
1665030789.05591392517,Umi/Atzera Rural LLG,PG120618,Markham District,PG1206,Morobe Province,PG12,"129",66894.000000,Umi/Atzera Rural,Markham District,Morobe
584605218.44716155529,Unavi Rural LLG,PG110507,Lufa District,PG1105,Eastern Highlands Province,PG11,"33",6847.000000,Unavi Rural,Lufa District,Eastern Highlands
265544444.06589737535,Unggai Rural LLG,PG110824,Unggai/Benna District,PG1108,Eastern Highlands Province,PG11,"115",33812.000001,Unggai  Rural,Unggai/Benna District,Eastern Highlands
260505646.39534208179,Upper Asaro Rural LLG,PG110113,Daulo District,PG1101,Eastern Highlands Province,PG11,"62",18334.953876,Upper Asaro Rural,Daulo District,Eastern Highlands
405633932.51458352804,Upper Bena Rural LLG,PG110823,Unggai/Benna District,PG1108,Eastern Highlands Province,PG11,"157",37411.041493,Upper Bena Rural,Unggai/Benna District,Eastern Highlands
549178927.25978815556,Upper Mendi Rural LLG,PG070621,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,"27",57299.000000,Upper Mendi Rural,Mendi/Munihu District,Southern Highlands
670925667.28198838234,Upper Wage LLG,PG210431,Komo/Magarima District,PG2104,Hela Province,PG21,"88",35841.349571,Upper Wage,Komo/Magarima District,Hela
226439313.62715908885,Upper/Lower Koronigl LLG,PG100411,Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,"89",54701.795359,Upper/Lower Koronigl,Kerowagi District,Chimbu (Simbu)
2830309620.15281772614,Usino Rural LLG,PG130616,Usino Bundi District,PG1306,Madang Province,PG13,"117",74459.751645,Usino Rural,Usino Bundi District,Madang
10416707.24894245155,Vanimo Urban LLG,PG150415,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,"26",26495.000000,Vanimo Urban,Vanimo/Green River District,West Sepik (Sandaun)
165170445.06635087729,Vunadidir/Toma Rural LLG,PG180105,Gazelle District,PG1801,East New Britain Province,PG18,"37",41836.000000,Vunadidir/Toma Rural,Gazelle District,East New Britain
399785231.88947117329,Wabag Rural LLG,PG080411,Wabag District,PG0804,Enga Province,PG08,"106",110279.000000,Wabag Rural,Wabag District,Enga
1103298.84118588478,Wabag Urban LLG,PG080410,Wabag District,PG0804,Enga Province,PG08,"13",7064.000000,Wabag Urban,Wabag District,Enga
1159291402.44223952293,Wage Rural LLG,PG080102,Kandep District,PG0801,Enga Province,PG08,"116",47865.000000,Wage Rural,Kandep District,Enga
914617764.95603036880,Wain-Erap Rural LLG,PG120825,Nawae District,PG1208,Morobe Province,PG12,"80",57188.000002,Wain-Erap Rural,Nawae District,Morobe
105457815.14824205637,Waiye LLG,PG100516,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,"77",62328.000000,Waiye,Kundiawa/Gembogl District,Chimbu (Simbu)
1159037361.61653709412,Wakunai LLG,PG200207,Central Bougainville District,PG2002,Autonomous Region of Bougainville,PG20,"84",61104.000002,Wakunai,Central Bougainville District,Bougainville
1965502331.13143968582,Walsa Rural LLG,PG150416,Vanimo/Green River District,PG1504,West Sepik (Sandaun) Province,PG15,"40",12835.000000,Walsa Rural,Vanimo/Green River District,West Sepik (Sandaun)
2685258550.55883169174,Wampar Rural LLG,PG120311,Huon District,PG1203,Morobe Province,PG12,"135",137823.999998,Wampar Rural,Huon District,Morobe
1113722898.83630251884,Wantoat/Leron Rural LLG,PG120619,Markham District,PG1206,Morobe Province,PG12,"103",26895.000000,Wantoat/Leron Rural,Markham District,Morobe
546063427.52496588230,Wapenamanda Rural LLG,PG080513,Wapenamanda District,PG0805,Enga Province,PG08,"74",52177.999999,Wapenamanda Rural,Wapenamanda District,Enga
735913880.55279076099,Wapi-Yengis Rural LLG,PG080205,Kompiam District,PG0802,Enga Province,PG08,"21",7368.537280,Wapi-Yengis Rural,Kompiam District,Enga
593535890.19242155552,Wapi Rural LLG,PG120722,Menyamya District,PG1207,Morobe Province,PG12,"49",33073.000000,Wapi Rural,Menyamya District,Morobe
3170513347.77784490585,Waria Rural LLG,PG120102,Bulolo District,PG1201,Morobe Province,PG12,"60",17276.000000,Waria Rural,Wau-Waria District,Morobe
815458599.12377381325,Wasu Rural LLG,PG120928,Tawae/Siassi District,PG1209,Morobe Province,PG12,"46",22735.000000,Wasu Rural,Tawae/Siassi District,Morobe
168106557.87468335032,Watabung Rural LLG,PG110101,Daulo District,PG1101,Eastern Highlands Province,PG11,"75",17256.830603,Watabung Rural,Daulo District,Eastern Highlands
13166975.27768982016,Watom Island Rual LLG,PG180418,Rabaul District,PG1804,East New Britain Province,PG18,"7",3682.000000,Watom Island Rual,Rabaul District,East New Britain
1358079354.08296942711,Watut Rural LLG,PG120103,Bulolo District,PG1201,Morobe Province,PG12,"58",37930.999999,Watut Rural,Bulolo District,Morobe
2346922135.20196962357,Wau Rural LLG,PG120105,Bulolo District,PG1201,Morobe Province,PG12,"121",48596.999999,Wau Rural,Wau-Waria District,Morobe
17821820.74131662771,Wau/Bulolo Urban LLG,PG120104,Bulolo District,PG1201,Morobe Province,PG12,"45",21028.000000,Wau/Bulolo Urban,Bulolo District,Morobe
1616084449.21461892128,Weraura Rural LLG,PG050103,Alotau District,PG0501,Milne Bay Province,PG05,"63",20834.000000,Weraura Rural,Alotau District,Milne Bay Province
1912805979.06496548653,West Aitape Rural LLG,PG150103,Aitape/Lumi District,PG1501,West Sepik (Sandaun) Province,PG15,"31",28689.000000,West Aitape Rural,Aitape/Lumi District,West Sepik (Sandaun)
739710026.86084496975,West Ferguson Rural LLG,PG050414,Esa'ala District,PG0504,Milne Bay Province,PG05,"26",38891.000000,West Ferguson Rural,Esa'ala District,Milne Bay Province
11044560478.03807067871,West Kikori Rural LLG,PG020210,Kikori District,PG0202,Gulf Province,PG02,"43",15699.000000,West Kikori Rural,Kikori District,Gulf Province
846020353.73086404800,West Okapa Rural LLG,PG110722,Okapa District,PG1107,Eastern Highlands Province,PG11,"95",19192.073700,West Okapa Rural,Okapa District,Eastern Highlands
1734296355.21227359772,West Pomio/Mamusi Rural LLG,PG180314,Pomio District,PG1803,East New Britain Province,PG18,"85",17578.000000,West Pomio/Mamusi Rural,Pomio District,East New Britain
951638327.33301198483,West Wapei Rural LLG,PG150104,Aitape/Lumi District,PG1501,West Sepik (Sandaun) Province,PG15,"56",17253.000000,West Wapei Rural,Aitape/Lumi District,West Sepik (Sandaun)
219147160.39176642895,West Yangoru Rural LLG,PG140626,Yangoru Saussia District,PG1406,East Sepik Province,PG14,"41",21996.000001,West Yangoru Rural,Yangoru Saussia District,East Sepik
159969975.97772383690,Wewak Islands Rural LLG,PG140416,Wewak District,PG1404,East Sepik Province,PG14,"59",13823.000000,Wewak Islands Rural,Wewak District,East Sepik
392569197.78363662958,Wewak Rural LLG,PG140417,Wewak District,PG1404,East Sepik Province,PG14,"51",26922.000001,Wewak Rural LLG,Wewak District,East Sepik
19355255.45283369720,Wewak Urban LLG,PG140418,Wewak District,PG1404,East Sepik Province,PG14,"74",52094.000000,Wewak Urban,Wewak District,East Sepik
943242369.16837871075,Wiru Rural LLG,PG070104,Ialibu/Pangia District,PG0701,Southern Highlands Province,PG07,"134",36876.000000,Wiru Rural,Ialibu/Pangia District,Southern Highlands
3423717504.14654350281,Woitape Rural LLG,PG030206,Goilala District,PG0302,Central Province,PG03,"62",32037.000001,Woitape Rural,Goilala District,Central
695869248.23845076561,Yabim Mape Rural LLG,PG120208,Finschafen District,PG1202,Morobe Province,PG12,"57",21074.810073,Yabim Mape Rural,Finschafen District,Morobe
280330204.90982091427,Yagaria Rural LLG,PG110521,Lufa District,PG1105,Eastern Highlands Province,PG11,"84",30562.774441,Yagaria Rural,Lufa District,Eastern Highlands
1248659376.83941125870,Yaleyemba Rural LLG,PG050210,Samarai-Murua District,PG0502,Milne Bay Province,PG05,"75",101016.000002,Yaleyemba Rural,Samarai-Murua District,Milne Bay Province
336379640.34662520885,Yamil/Tamaui Rural LLG,PG140313,Maprik District,PG1403,East Sepik Province,PG14,"38",25671.000001,Yamil/Tamaui Rural,Maprik District,East Sepik
754690024.37839710712,Yangkok Rural LLG,PG150207,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,"57",30146.000001,Yangkok Rural,Nuku District,West Sepik (Sandaun)
4139792577.36552953720,Yapsie Rural LLG,PG150311,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"42",8664.000000,Yapsie Rural,Telefomin District,West Sepik (Sandaun)
2237436779.88705301285,Yawar Rural LLG,PG130103,Bogia District,PG1301,Madang Province,PG13,"125",65892.000000,Yawar Rural,Bogia District,Madang
2120768084.77917122841,Yelia Rural LLG,PG110609,Obura/Wonenara District,PG1106,Eastern Highlands Province,PG11,"126",10574.000000,Yelia Rural,Obura/Wonenara District,Eastern Highlands
87720493.60432164371,Yonggomugl Rural LLG,PG100619,Sina Sina Yonggomugl District,PG1006,Chimbu (Simbu) Province,PG10,"58",33759.000000,Yonggomugl Rural,Sina Sina Yonggomugl District,Chimbu (Simbu)
2336997106.57506322861,Yuat Rural LLG,PG140209,Angoram District,PG1402,East Sepik Province,PG14,"35",18186.999999,Yuat Rural,Angoram District,East Sepik
1297093235.25721359253,Yus Rural LLG,PG120414,Kabwum District,PG1204,Morobe Province,PG12,"37",16490.000000,Yus Rural,Kabwum District,Morobe
