Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,District,Province
434921163.24709349871,Karkar Rural LLG,PG130513,Sumkar District,PG1305,Madang Province,PG13,"107",67991.000000,Karkar Rural,Sumkar District,Madang
22642019.32097286731,Kavieng Urban LLG,PG170104,Kavieng District,PG1701,New Ireland Province,PG17,"53",22725.000000,Kavieng Urban,Kavieng District,New Ireland
3430722753.59177446365,Keram Rural LLG,PG140207,Angoram District,PG1402,East Sepik Province,PG14,"71",35462.000000,Keram Rural,Angoram District,East Sepik
1764278.54979011230,Kerema Urban LLG,PG020104,Kerema District,PG0201,Gulf Province,PG02,"12",8527.000000,Kerema Urban,Kerema District,Gulf Province
2099138.45648142695,Kerowagi Urban LLG,PG100420,Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,"7",7911.204641,Kerowagi Urban,Kerowagi District,Chimbu (Simbu)
256142695.53027781844,Kewabi Rural LLG,PG070103,Ialibu/Pangia District,PG0701,Southern Highlands Province,PG07,"124",38309.000001,Kewabi Rural,Ialibu/Pangia District,Southern Highlands
5087175.18751311675,Kimbe Urban LLG,PG190209,Talasea District,PG1902,West New Britain Province,PG19,"32",23931.999999,Kimbe Urban,Talasea District,West New Britain
1330408946.01907539368,Kira Rural LLG,PG060208,Sohe District,PG0602,Northern (Oro) Province,PG06,"30",3583.000000,Kira Rural,Sohe District,Northern (Oro)
382739490.69031310081,Kiriwina Rural LLG,PG050312,Kiriwina-Goodenough District,PG0503,Milne Bay Province,PG05,"99",51880.000000,Kiriwina Rural,Kiriwina-Goodenough District,Milne Bay Province
7429425752.55906772614,Kiunga Rural LLG,PG010206,North Fly District,PG0102,Western Province,PG01,"75",23549.000000,Kiunga Rural LLG,North Fly District,Western
17051797.16557730362,Kiunga Urban LLG,PG010207,North Fly District,PG0102,Western Province,PG01,"15",26778.000000,Kiunga Urban LLG,North Fly District,Western
2096379294.73218488693,Kiwai Rural LLG,PG010312,South Fly District,PG0103,Western Province,PG01,"51",27533.000000,Kiwai Rural LLG,South Fly District,Western
3457503968.91344356537,Koiari Rural LLG,PG030309,Kairuku - Hiri District,PG0303,Central Province,PG03,"117",32043.000001,Koiari Rural,Hiri-Koiari District,Central
3218363240.36137008667,Kokoda Rural LLG,PG060205,Sohe District,PG0602,Northern (Oro) Province,PG06,"118",29702.000000,Kokoda Rural,Sohe District,Northern (Oro)
134898791.82059726119,Kokopo/Vunamami Urban LLG,PG180208,Kokopo District,PG1802,East New Britain Province,PG18,"46",40231.000001,Kokopo/Vunamami Urban,Kokopo District,East New Britain
586692500.42543113232,Kol Rural LLG,PG220407,Jimi District,PG2204,Jiwaka Province,PG22,"58",19964.000000,Kol Rural,Jimi District,Jiwaka
1090031320.97023177147,Komba Rural LLG,PG120431,Kabwum District,PG1204,Morobe Province,PG12,"35",12971.000000,Komba Rural,Kabwum District,Morobe
